ReviewID,ProductID,CustomerID,Rating,ReviewDate,text,token_count,CategoryName,ProductName,CompanyName
21,4,UP827,3.1,2025-05-24,"客户ID: UP827
客户公司: 惠派国际公司信息有限公司智能科技
客户所在地: 昆明市, 中国
产品信息: 格力智能手环Mini (类别: 智能手环)
生产商: 格力智能电器
产品价格: 5018.46
评分: 3.1星
评价日期: 2025年05月24日
评价内容: ""这款产品优缺点都有，操作简单，但做工一般。""",124,智能手环,格力智能手环Mini,惠派国际公司信息有限公司智能科技
13,5,KL704,4.3,2025-02-28,"客户ID: KL704
客户公司: 凌云网络有限公司数字科技
客户所在地: 浩县, 中国
产品信息: 飞利浦智能洗衣机Elite (类别: 智能洗衣机)
生产商: 飞利浦智能照明
产品价格: 9807.96
评分: 4.3星
评价日期: 2025年02月28日
评价内容: ""这款产品的一键控制特别好用，在夜间使用时特别方便。""",127,智能洗衣机,飞利浦智能洗衣机Elite,凌云网络有限公司数字科技
29,2,EL529,1.7,2025-02-21,"客户ID: EL529
客户公司: 菊风公司传媒有限公司云计算
客户所在地: 淑兰县, 中国
产品信息: 小米智能插座Advanced (类别: 智能插座)
生产商: 小米智能家居
产品价格: 8343.26
评分: 1.7星
评价日期: 2025年02月21日
评价内容: ""使用一周后出现故障，售后服务差，售后服务也不好。""",124,智能插座,小米智能插座Advanced,菊风公司传媒有限公司云计算
5,3,IF750,2.4,2025-01-20,"客户ID: IF750
客户公司: 联通时科科技有限公司区块链技术
客户所在地: 娟县, 中国
产品信息: 谷歌智能开关Standard (类别: 智能开关)
生产商: 谷歌智能设备
产品价格: 8033.74
评分: 2.4星
评价日期: 2025年01月20日
评价内容: ""对这款智能开关非常不满意，功能单一，浪费钱。""",123,智能开关,谷歌智能开关Standard,联通时科科技有限公司区块链技术
7,2,KL704,2.4,2025-01-11,"客户ID: KL704
客户公司: 凌云网络有限公司数字科技
客户所在地: 浩县, 中国
产品信息: 小米智能插座Advanced (类别: 智能插座)
生产商: 小米智能家居
产品价格: 8343.26
评分: 2.4星
评价日期: 2025年01月11日
评价内容: ""不推荐这款智能插座，使用说明不清，很失望。""",119,智能插座,小米智能插座Advanced,凌云网络有限公司数字科技
16,7,VK239,2.8,2025-01-02,"客户ID: VK239
客户公司: 图龙信息传媒有限公司虚拟现实
客户所在地: 畅市, 中国
产品信息: 谷歌智能空气净化器Standard (类别: 智能空气净化器)
生产商: 谷歌智能设备
产品价格: 2534.8
评分: 2.8星
评价日期: 2025年01月02日
评价内容: ""作为一个经常使用此类产品的人，这款谷歌智能空气净化器Standard完全不符合预期。主要问题在于音质一般。""",152,智能空气净化器,谷歌智能空气净化器Standard,图龙信息传媒有限公司虚拟现实
6,3,XE988,2.7,2024-11-12,"客户ID: XE988
客户公司: MBP软件网络有限公司金融科技
客户所在地: 莉县, 中国
产品信息: 谷歌智能开关Standard (类别: 智能开关)
生产商: 谷歌智能设备
产品价格: 8033.74
评分: 2.7星
评价日期: 2024年11月12日
评价内容: ""不推荐这款智能开关，做工一般，很失望。""",118,智能开关,谷歌智能开关Standard,MBP软件网络有限公司金融科技
26,8,UP827,4.0,2024-10-24,"客户ID: UP827
客户公司: 惠派国际公司信息有限公司智能科技
客户所在地: 昆明市, 中国
产品信息: 苹果智能空调Max (类别: 智能空调)
生产商: 苹果智能家庭
产品价格: 3175.58
评分: 4.0星
评价日期: 2024年10月24日
评价内容: ""智能空调的设计很人性化，质量很好，值得推荐。""",125,智能空调,苹果智能空调Max,惠派国际公司信息有限公司智能科技
10,3,XQ641,4.2,2024-10-15,"客户ID: XQ641
客户公司: 商软冠联信息有限公司互联网服务
客户所在地: 莉县, 中国
产品信息: 谷歌智能开关Standard (类别: 智能开关)
生产商: 谷歌智能设备
产品价格: 8033.74
评分: 4.2星
评价日期: 2024年10月15日
评价内容: ""非常满意这次购买，外观漂亮，送货也很快。""",121,智能开关,谷歌智能开关Standard,商软冠联信息有限公司互联网服务
1,1,JV501,2.1,2024-10-05,"客户ID: JV501
客户公司: 凌颖信息科技有限公司互联网服务
客户所在地: 宁德市, 中国
产品信息: 松下智能电视Mini (类别: 智能电视)
生产商: 松下智能电器
产品价格: 3409.02
评分: 2.1星
评价日期: 2024年10月05日
评价内容: ""电池寿命问题很严重，完全不值这个价格。""",121,智能电视,松下智能电视Mini,凌颖信息科技有限公司互联网服务
25,6,CG280,1.5,2024-09-26,"客户ID: CG280
客户公司: 商软冠联传媒有限公司大数据分析
客户所在地: 成都县, 中国
产品信息: 博世智能摄像头Ultra (类别: 智能摄像头)
生产商: 博世智能系统
产品价格: 4516.72
评分: 1.5星
评价日期: 2024年09月26日
评价内容: ""我觉得，这款智能摄像头很失望。在做饭时时完全不能正常工作。不推荐任何人购买。""",142,智能摄像头,博世智能摄像头Ultra,商软冠联传媒有限公司大数据分析
22,2,JV501,4.3,2024-09-07,"客户ID: JV501
客户公司: 凌颖信息科技有限公司互联网服务
客户所在地: 宁德市, 中国
产品信息: 小米智能插座Advanced (类别: 智能插座)
生产商: 小米智能家居
产品价格: 8343.26
评分: 4.3星
评价日期: 2024年09月07日
评价内容: ""非常满意这次购买，画质清晰，送货也很快。""",122,智能插座,小米智能插座Advanced,凌颖信息科技有限公司互联网服务
2,6,XE988,4.0,2024-08-17,"客户ID: XE988
客户公司: MBP软件网络有限公司金融科技
客户所在地: 莉县, 中国
产品信息: 博世智能摄像头Ultra (类别: 智能摄像头)
生产商: 博世智能系统
产品价格: 4516.72
评分: 4.0星
评价日期: 2024年08月17日
评价内容: ""这款智能摄像头质量很好，画质清晰。总体来说很满意。""",126,智能摄像头,博世智能摄像头Ultra,MBP软件网络有限公司金融科技
27,8,EL529,1.8,2024-07-02,"客户ID: EL529
客户公司: 菊风公司传媒有限公司云计算
客户所在地: 淑兰县, 中国
产品信息: 苹果智能空调Max (类别: 智能空调)
生产商: 苹果智能家庭
产品价格: 3175.58
评分: 1.8星
评价日期: 2024年07月02日
评价内容: ""收到货后，这款苹果智能空调Max有严重问题。使用不到一周就出现了损坏。唯一值得称赞的可能就是价格便宜。以后不会再考虑这个品牌的产品。""",164,智能空调,苹果智能空调Max,菊风公司传媒有限公司云计算
